location,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi,New Delhi
lat,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986,28.59986
lon,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579,77.22579
asl,216.200,216.200,216.200,216.200,216.200,216.200,216.200,216.200
variable,Temperature,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Shortwave Radiation,Wind Speed,Wind Direction,Geopotential Height
unit,°C,hPa,mm,%,W/m²,km/h,°,Gpm
level,2 m elevation corrected,MSL,sfc,sfc,sfc,10 m,10 m,1000 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,New Delhi Temperature [2 m elevation corrected],New Delhi Mean Sea Level Pressure [MSL],New Delhi Precipitation Total,New Delhi Cloud Cover Total,New Delhi Shortwave Radiation,New Delhi Wind Speed [10 m],New Delhi Wind Direction [10 m],New Delhi Geopotential Height [1000 mb]
20200917T0000,32.087303,1002.7,0.0,0.0,0.0,6.5693827,189.46233,18.0
20200917T0100,31.4773,1002.7,0.0,0.0,0.0,6.638072,192.52881,18.0
20200917T0200,30.8973,1002.3,0.0,0.0,0.0,5.937272,194.03624,16.0
20200917T0300,30.4473,1002.0,0.0,0.0,0.0,5.154415,204.77515,13.0
20200917T0400,30.1873,1002.2,0.0,0.0,0.0,3.6,216.8699,15.0
20200917T0500,30.0273,1002.8,0.0,0.0,0.0,2.3051248,218.65982,20.0
20200917T0600,30.4373,1002.9,0.0,0.0,6.23,4.379589,279.46234,21.0
20200917T0700,31.5273,1003.2,0.0,0.0,149.52,4.3349743,274.76364,24.0
20200917T0800,33.1473,1003.8,0.0,0.0,355.11,8.287822,272.48956,29.0
20200917T0900,34.6273,1004.2,0.0,0.0,539.33997,9.726665,272.1211,32.0
20200917T1000,36.2773,1003.6,0.0,0.0,690.64,11.304229,279.16235,26.0
20200917T1100,37.767303,1002.7,0.0,0.0,794.76996,14.33234,295.2777,17.0
20200917T1200,38.857304,1001.0,0.0,0.0,841.94,19.373219,311.98724,2.0
20200917T1300,39.637302,999.8,0.0,0.0,829.48,20.188908,320.06363,-8.0
20200917T1400,40.1273,999.0,0.0,0.0,757.39,19.107151,317.29062,-17.0
20200917T1500,40.3073,998.2,0.0,0.0,632.79,17.884428,310.10092,-24.0
20200917T1600,40.297302,998.0,0.0,0.0,463.69,15.986593,305.83765,-26.0
20200917T1700,39.957302,998.2,0.0,0.0,265.22,12.181624,304.1597,-24.0
20200917T1800,38.5373,999.0,0.0,0.0,71.2,10.08,360.0,-15.0
20200917T1900,37.2773,999.9,0.0,0.0,0.0,6.6087217,29.357742,-8.0
20200917T2000,35.7773,1001.0,0.0,0.0,0.0,3.2599385,83.65981,3.0
20200917T2100,34.3773,1002.1,0.0,0.0,0.0,4.39436,145.00798,12.0
20200917T2200,33.727303,1001.9,0.0,0.0,0.0,6.162207,173.29016,11.0
20200917T2300,33.137302,1001.7,0.0,0.0,0.0,6.2145634,190.00798,10.0
20200918T0000,32.637302,1001.6,0.0,0.0,0.0,6.151683,200.55605,9.0
20200918T0100,32.2173,1001.5,0.0,0.0,0.0,5.991594,212.73523,8.0
20200918T0200,31.8973,1000.9,0.0,0.0,0.0,5.1165614,219.28941,3.0
20200918T0300,31.6073,1000.6,0.0,10.0,0.0,4.6102495,218.65982,0.0
20200918T0400,31.4673,1000.8,0.0,10.0,0.0,3.219938,206.56505,2.0
20200918T0500,31.1273,1001.4,0.0,0.0,0.0,1.835647,168.69006,7.0
20200918T0600,31.0073,1001.8,0.0,7.0,5.34,1.2979984,326.30994,11.0
20200918T0700,31.8873,1002.0,0.0,5.0,142.4,0.71999997,180.0,14.0
20200918T0800,33.657303,1002.4,0.0,0.0,350.66,2.9024127,240.25513,17.0
20200918T0900,35.1673,1003.1,0.0,0.0,534.89,5.4477882,262.40536,22.0
20200918T1000,36.5073,1003.0,0.0,10.0,663.05,8.473393,282.26477,21.0
20200918T1100,37.5773,1002.3,0.0,0.0,750.26996,12.4811535,303.23172,14.0
20200918T1200,38.2573,1001.2,0.0,10.0,809.89996,12.88981,305.90973,4.0
20200918T1300,39.0273,1000.3,0.0,0.0,780.52997,13.783817,310.7636,-4.0
20200918T1400,39.337303,999.1,0.0,48.0,740.48,14.05845,309.80557,-15.0
20200918T1500,38.7173,998.4,0.2,78.0,362.22998,13.584932,302.00537,-22.0
20200918T1600,38.567303,998.4,0.0,65.0,242.08,13.0447235,297.9795,-21.0
20200918T1700,38.0973,998.8,0.0,68.0,141.51,11.298495,292.47943,-18.0
20200918T1800,37.2373,999.1,0.0,0.0,41.829998,10.105681,355.91437,-14.0
20200918T1900,36.3973,999.7,0.0,0.0,0.0,5.0142193,21.037506,-8.0
20200918T2000,35.587303,1000.5,0.0,0.0,0.0,1.8,89.99999,-1.0
20200918T2100,34.817303,1001.5,0.0,0.0,0.0,3.8268526,138.81407,7.0
20200918T2200,33.997303,1001.7,0.0,0.0,0.0,5.8048253,150.25511,9.0
20200918T2300,33.0373,1001.5,0.0,0.0,0.0,6.297428,149.03624,7.0
20200919T0000,32.247303,1001.4,0.0,0.0,0.0,6.12,151.9275,7.0
20200919T0100,31.6673,1001.6,0.0,0.0,0.0,4.8965297,143.97263,9.0
20200919T0200,31.0473,1001.4,0.0,0.0,0.0,4.39436,124.99202,7.0
20200919T0300,30.4673,1001.1,0.0,0.0,0.0,3.8773184,111.80141,5.0
20200919T0400,29.8973,1001.3,0.0,0.0,0.0,5.3999996,89.99999,7.0
20200919T0500,29.1973,1001.8,0.0,0.0,0.0,6.519877,83.65981,12.0
20200919T0600,29.0073,1002.1,0.0,0.0,5.34,6.725354,74.47588,15.0
20200919T0700,30.1373,1002.8,0.0,0.0,145.95999,6.5693827,80.537674,21.0
20200919T0800,31.6473,1003.5,0.0,0.0,353.33,7.5685663,92.72631,26.0
20200919T0900,33.1273,1004.1,0.0,0.0,539.33997,6.519877,96.34019,32.0
20200919T1000,34.637302,1003.7,0.0,0.0,692.42,3.6,89.99999,28.0
20200919T1100,36.047302,1002.7,0.0,0.0,797.44,3.8268526,41.18593,18.0
20200919T1200,37.2573,1001.8,0.0,0.0,845.5,5.937272,14.03624,10.0
20200919T1300,38.2373,1000.9,0.0,0.0,832.14996,9.007196,2.2906036,1.0
20200919T1400,38.7373,999.9,0.0,0.0,758.27997,10.805999,358.09085,-8.0
20200919T1500,38.9373,999.1,0.0,0.0,631.89996,10.239453,349.87534,-15.0
20200919T1600,38.857304,998.9,0.0,0.0,461.02,10.739833,346.42957,-17.0
20200919T1700,38.457302,999.0,0.0,50.0,270.56,9.255571,346.50427,-16.0
20200919T1800,37.637302,999.3,0.0,0.0,62.3,7.2359104,354.28943,-13.0
20200919T1900,37.297302,999.6,0.0,0.0,0.0,6.28713,13.240509,-9.0
20200919T2000,36.5973,1000.4,0.0,0.0,0.0,6.696387,36.25383,-2.0
20200919T2100,35.5573,1001.2,0.0,0.0,0.0,7.2,53.130096,4.0
20200919T2200,34.3073,1001.3,0.0,0.0,0.0,6.830519,71.56504,5.0
20200919T2300,33.2173,1001.3,0.0,0.0,0.0,6.12,89.99999,5.0
